,instance,best_known,avg_completion,deviation_pct,size
0,TA51,125831,128550.0,2.1608347704460744,50
10,TA52,119247,121834.0,2.169446610816205,50
20,TA54,120261,124131.0,3.2180008481552624,50
30,TA53,116459,119860.0,2.920341064237199,50
40,TA55,118184,121245.0,2.590029107154945,50
50,TA56,120586,122796.0,1.8327168991425207,50
60,TA57,122880,125653.0,2.2566731770833335,50
70,TA58,122489,127327.0,3.9497424258504847,50
80,TA59,121872,124627.0,2.2605684652750426,50
90,TA60,123954,127732.0,3.047904867934879,50
100,TA81,365463,378507.0,3.5691711609656793,100
110,TA83,370027,380968.0,2.9568112597188856,100
120,TA82,372001,383413.0,3.067733688887933,100
130,TA85,368915,382997.0,3.8171394494666795,100
140,TA84,372393,383207.0,2.9039213948704727,100
150,TA86,370908,387937.0,4.59116546421215,100
160,TA87,373408,386822.0,3.592317250835547,100
170,TA88,384525,394430.0,2.575905337754372,100
180,TA89,374423,385607.0,2.9869959911650725,100
190,TA90,379296,390517.0,2.9583755167468153,100
200,TA104,1226654,1270872.0,3.604765483991411,200
203,TA101,1221768,1256990.0,2.8828713798364336,200
206,TA105,1215411,1252516.0,3.0528767634981087,200
209,TA103,1254822,1296343.0,3.3089155274612656,200
212,TA102,1231880,1273749.0,3.39878884306913,200
215,TA106,1219698,1257264.0,3.079942739924145,200
218,TA110,1234864,1277271.0,3.434143355057723,200
221,TA109,1222431,1266292.0,3.58801437463546,200
224,TA108,1233257,1265297.0,2.59799863288836,200
227,TA107,1237014,1268534.0,2.5480714042039945,200


| Size (Jobs) | Average Deviation (%) |
| ----------- | --------------------- |
| 50          | 2.64 %                |
| 100         | 3.30 %                |
| 200         | 3.15 %                |
