instance,avg_completion,best_known,avg_deviation,job_size
TA101,1256990.0,1221768,2.8828713798364336,200.0
TA102,1273749.0,1231880,3.39878884306913,200.0
TA103,1296343.0,1254822,3.3089155274612656,200.0
TA104,1270872.0,1226654,3.604765483991411,200.0
TA105,1252516.0,1215411,3.0528767634981087,200.0
TA106,1257264.0,1219698,3.079942739924145,200.0
TA107,1268534.0,1237014,2.5480714042039945,200.0
TA108,1265297.0,1233257,2.59799863288836,200.0
TA109,1266292.0,1222431,3.58801437463546,200.0
TA110,1277271.0,1234864,3.434143355057723,200.0
TA51,128550.0,125831,2.1608347704460744,50.0
TA52,121834.0,119247,2.169446610816205,50.0
TA53,119860.0,116459,2.920341064237199,50.0
TA54,124131.0,120261,3.2180008481552624,50.0
TA55,121245.0,118184,2.590029107154945,50.0
TA56,122796.0,120586,1.8327168991425207,50.0
TA57,125653.0,122880,2.2566731770833335,50.0
TA58,127327.0,122489,3.9497424258504847,50.0
TA59,124627.0,121872,2.2605684652750426,50.0
TA60,127732.0,123954,3.047904867934879,50.0
TA81,378507.0,365463,3.5691711609656793,100.0
TA82,383413.0,372001,3.067733688887933,100.0
TA83,380968.0,370027,2.9568112597188856,100.0
TA84,383207.0,372393,2.9039213948704727,100.0
TA85,382997.0,368915,3.8171394494666795,100.0
TA86,387937.0,370908,4.59116546421215,100.0
TA87,386822.0,373408,3.592317250835547,100.0
TA88,394430.0,384525,2.575905337754372,100.0
TA89,385607.0,374423,2.9869959911650725,100.0
TA90,390517.0,379296,2.9583755167468153,100.0
